Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S200302	Conflict_Resolution	RIGHT	RIGHT	984.111299999995	1100.0000022	n/a	n/a	2020-03-02 13:12:12.766509	2020-03-02 13:12:13.957590	1	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	474.520999999982	866.6666684	n/a	n/a	2020-03-02 13:12:14.843854	2020-03-02 13:12:15.526234	2	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	472.280800000021	916.6666685	n/a	n/a	2020-03-02 13:12:16.462322	2020-03-02 13:12:17.141586	3	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	445.358100000021	983.3333353	n/a	n/a	2020-03-02 13:12:18.144562	2020-03-02 13:12:18.797383	4	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	528.946299999916	1366.6666694	n/a	n/a	2020-03-02 13:12:20.181712	2020-03-02 13:12:20.918088	5	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	564.926600000035	1000.000002	n/a	n/a	2020-03-02 13:12:21.936925	2020-03-02 13:12:22.709392	6	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	439.616000000001	566.6666678	n/a	n/a	2020-03-02 13:12:23.294091	2020-03-02 13:12:23.943062	7	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	420.669900000007	1016.6666687	n/a	n/a	2020-03-02 13:12:24.977856	2020-03-02 13:12:25.607165	8	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	501.953800000024	983.3333353	n/a	n/a	2020-03-02 13:12:26.608528	2020-03-02 13:12:27.317653	9	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	746.325100000035	666.666668	n/a	n/a	2020-03-02 13:12:28.004355	2020-03-02 13:12:28.959304	10	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	451.557500000035	800.0000016	n/a	n/a	2020-03-02 13:12:29.779153	2020-03-02 13:12:30.437440	11	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	673.047900000029	950.0000019	n/a	n/a	2020-03-02 13:12:31.405329	2020-03-02 13:12:32.286327	12	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	418.043900000043	1100.0000022	n/a	n/a	2020-03-02 13:12:33.403915	2020-03-02 13:12:34.031014	13	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	412.442199999987	583.3333345	n/a	n/a	2020-03-02 13:12:34.633947	2020-03-02 13:12:35.255164	14	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	500.34299999993	1183.3333357	n/a	n/a	2020-03-02 13:12:36.457758	2020-03-02 13:12:37.165727	15	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	552.635699999996	916.6666685	n/a	n/a	2020-03-02 13:12:38.101290	2020-03-02 13:12:38.862138	16	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	582.129000000009	600.0000012	n/a	n/a	2020-03-02 13:12:39.480428	2020-03-02 13:12:40.269382	17	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	464.952200000084	900.0000018	n/a	n/a	2020-03-02 13:12:41.189597	2020-03-02 13:12:41.861416	18	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	647.398400000043	950.0000019	n/a	n/a	2020-03-02 13:12:42.831150	2020-03-02 13:12:43.686173	19	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	442.206399999918	1066.6666688	n/a	n/a	2020-03-02 13:12:44.771751	2020-03-02 13:12:45.423009	20	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	663.911299999995	900.0000018	n/a	n/a	2020-03-02 13:12:46.342592	2020-03-02 13:12:47.214748	21	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	443.517100000008	1216.6666691	n/a	n/a	2020-03-02 13:12:48.450668	2020-03-02 13:12:49.101391	22	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	539.844399999993	1266.6666692	n/a	n/a	2020-03-02 13:12:50.386161	2020-03-02 13:12:51.134802	23	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	470.295299999975	733.3333348	n/a	n/a	2020-03-02 13:12:51.888336	2020-03-02 13:12:52.566426	24	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	523.793800000021	1416.6666695	n/a	n/a	2020-03-02 13:12:54.002728	2020-03-02 13:12:54.733862	25	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	534.251499999982	583.3333345	n/a	n/a	2020-03-02 13:12:55.336253	2020-03-02 13:12:56.077564	26	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	574.978299999998	1000.000002	n/a	n/a	2020-03-02 13:12:57.095421	2020-03-02 13:12:57.877327	27	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	582.513199999994	1383.3333361	n/a	n/a	2020-03-02 13:12:59.280040	2020-03-02 13:13:00.071010	28	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	505.066299999953	650.0000013	n/a	n/a	2020-03-02 13:13:00.741341	2020-03-02 13:13:01.453474	29	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	470.604999999978	1400.0000028	n/a	n/a	2020-03-02 13:13:02.871207	2020-03-02 13:13:03.549440	30	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	515.465199999994	1050.0000021	n/a	n/a	2020-03-02 13:13:04.618952	2020-03-02 13:13:05.341557	31	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	609.235499999954	1150.0000023	n/a	n/a	2020-03-02 13:13:06.510439	2020-03-02 13:13:07.327799	32	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	529.869800000029	1000.000002	n/a	n/a	2020-03-02 13:13:08.348128	2020-03-02 13:13:09.087194	33	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	703.873499999986	500.000001	n/a	n/a	2020-03-02 13:13:09.606789	2020-03-02 13:13:10.518905	34	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	496.101499999895	900.0000018	n/a	n/a	2020-03-02 13:13:11.437916	2020-03-02 13:13:12.142059	35	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	598.059899999953	1150.0000023	n/a	n/a	2020-03-02 13:13:13.312341	2020-03-02 13:13:14.118218	36	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	726.950799999941	550.0000011	n/a	n/a	2020-03-02 13:13:14.687713	2020-03-02 13:13:15.623321	37	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	460.999100000095	966.6666686	n/a	n/a	2020-03-02 13:13:16.609466	2020-03-02 13:13:17.278682	38	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	407.82420000005	1316.6666693	n/a	n/a	2020-03-02 13:13:18.614724	2020-03-02 13:13:19.230168	39	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	437.82090000002	1383.3333361	n/a	n/a	2020-03-02 13:13:20.632527	2020-03-02 13:13:21.277962	40	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	473.241099999996	1300.0000026	n/a	n/a	2020-03-02 13:13:22.596587	2020-03-02 13:13:23.278793	41	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	519.757899999945	500.000001	n/a	n/a	2020-03-02 13:13:23.798558	2020-03-02 13:13:24.525728	42	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	493.273000000045	1166.666669	n/a	n/a	2020-03-02 13:13:25.713202	2020-03-02 13:13:26.415012	43	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	568.046200000026	1133.3333356	n/a	n/a	2020-03-02 13:13:27.565861	2020-03-02 13:13:28.342349	44	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	603.633599999966	1216.6666691	n/a	n/a	2020-03-02 13:13:29.578388	2020-03-02 13:13:30.390820	45	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	581.59749999993	766.6666682	n/a	n/a	2020-03-02 13:13:31.176911	2020-03-02 13:13:31.966086	46	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	421.749000000091	583.3333345	n/a	n/a	2020-03-02 13:13:32.568476	2020-03-02 13:13:33.197895	47	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	567.769700000099	533.3333344	n/a	n/a	2020-03-02 13:13:33.750584	2020-03-02 13:13:34.526122	48	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	476.960099999928	783.3333349	n/a	n/a	2020-03-02 13:13:35.328916	2020-03-02 13:13:36.013933	49	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	548.021399999925	833.333335	n/a	n/a	2020-03-02 13:13:36.865865	2020-03-02 13:13:37.621497	50	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	581.451799999968	800.0000016	n/a	n/a	2020-03-02 13:13:38.440863	2020-03-02 13:13:39.229434	51	6.64973325	True	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	LEFT	LEFT	522.306100000151	666.666668	n/a	n/a	2020-03-02 13:13:39.915833	2020-03-02 13:13:40.645564	52	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	552.520200000117	1316.6666693	n/a	n/a	2020-03-02 13:13:41.982218	2020-03-02 13:13:42.742258	53	6.64973325	False	n/a	n/a	n/a	n/a
S200302	Conflict_Resolution	RIGHT	RIGHT	617.981699999973	1216.6666691	n/a	n/a	2020-03-02 13:13:43.980212	2020-03-02 13:13:44.806876	54	6.64973325	True	n/a	n/a	n/a	n/a
